stock_id,symbol
0,AACG
1,AACI
2,AACIU
4,AADI
5,AAGR
7,AAL
8,AAME
9,AAOI
10,AAON
11,AAPL
12,AATC
13,ABAT
14,ABCB
15,ABCL
16,ABEO
17,ABIO
18,ABL
19,ABLLL
21,ABLV
23,ABNB
24,ABOS
25,ABSI
26,ABTS
27,ABUS
28,ABVC
29,ABVX
30,ACAB
31,ACABU
33,ACAC
34,ACACU
36,ACAD
39,ACB
40,ACBA
41,ACBAU
43,ACCD
44,ACDC
45,ACET
46,ACGL
47,ACGLN
48,ACGLO
49,ACHC
50,ACHL
51,ACHV
52,ACIC
53,ACIU
54,ACIW
55,ACLS
56,ACLX
57,ACMR
58,ACNB
59,ACNT
60,ACON
63,ACRS
64,ACRV
66,ACST
67,ACTG
68,ACVA
69,ACXP
70,ADAG
71,ADAP
72,ADBE
73,ADD
74,ADEA
78,ADI
79,ADIL
80,ADMA
81,ADN
86,ADP
87,ADPT
88,ADSE
90,ADSK
91,ADTH
93,ADTN
94,ADTX
95,ADUS
96,ADV
97,ADVM
99,ADXN
100,ADXS
101,AEAE
102,AEAEU
104,AEHL
105,AEHR
106,AEI
107,AEIS
108,AEMD
109,AENT
111,AEP
112,AERT
114,AEYE
115,AEZS
116,AFAR
117,AFARU
119,AFBI
120,AFCG
121,AFIB
122,AFJK
124,AFJKU
125,AFMD
126,AFRI
128,AFRM
129,AFYA
130,AGAE
131,AGBA
133,AGEN
134,AGFY
136,AGIO
137,AGMH
138,AGMI
139,AGNC
140,AGNCL
141,AGNCM
142,AGNCN
143,AGNCO
144,AGNCP
145,AGRI
147,AGYS
148,AHCO
149,AHG
150,AHI
152,AIB
154,AIBBU
155,AIH
156,AIHS
157,AILE
159,AIMAU
161,AIMBU
162,AIMD
164,AIP
165,AIRE
166,AIRG
167,AIRJ
169,AIRS
170,AIRT
171,AIRTP
172,AISP
174,AITR
176,AITRU
177,AIXI
178,AKAM
179,AKAN
180,AKBA
181,AKLI
182,AKRO
183,AKTS
184,AKTX
185,AKYA
186,ALAB
187,ALAR
188,ALBT
189,ALCE
190,ALCO
191,ALCY
192,ALCYU
194,ALDX
195,ALEC
196,ALGM
197,ALGN
198,ALGS
199,ALGT
200,ALHC
201,ALIM
202,ALKS
203,ALKT
204,ALLK
205,ALLO
206,ALLR
207,ALLT
208,ALNT
209,ALNY
210,ALOT
211,ALPN
212,ALPP
213,ALRM
214,ALRN
215,ALRS
216,ALSA
218,ALSAU
220,ALT
221,ALTI
222,ALTO
223,ALTR
227,ALVO
229,ALVR
230,ALXO
231,ALZN
232,AMAL
233,AMAT
234,AMBA
236,AMCX
237,AMD
238,AMED
240,AMGN
241,AMIX
242,AMKR
243,AMLI
244,AMLX
252,AMRX
253,AMSC
